Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Country,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
German Bionic System,germanbionic.com,"German Bionic Systems has developed an exoskeleton system for industrial applications. The product is named Cray and is designed to reduce lower back compression forces, which supports users in manual handling of goods and tools. The robot works on an open source based cloud software platform that also enables machine learning and AI functionality.",Seed,"600,000",Safety,Emerging,2016,Germany,Both,TRUE,,,,
Wakecap,https://www.wakecap.com/,"WakeCap is an IoT-based enterprise solution to improve safety & productivity in the construction site. WakeCap is an IoT-based enterprise solution to improve safety & productivity in the construction site. We enable construction companies to have real-time field reporting by connecting & tracking materials, equipments, and most importantly workers at the construction site.",Seed,"2,500,000",Safety,Emerging,2015,Qatar,Both,TRUE,,,,
ScopeAR,https://www.scopear.com/,"Work instructions and remote assistance on a single AR knowledge platform. Imagine if everyone in your organization could, at any moment, access the expert guidance they need to perform any task with ease. Imagine if that expertise—live or in an AR tutorial—was highly intuitive and accessible on any device. And, imagine if each individual’s performance could be observed, measured, and improved. The Worklink Platform is that reality.",Series A,"11,800,000",Safety,Emerging,2010,Canada,Both,TRUE,,,,
Ekso Bionics,https://eksobionics.com/eksoworks/,"Work Safer with Vest-Fatigue reduction for overhead manufacturing, assembly, and construction. Ekso Bionics develops wearable exoskeletons for military, civilian and medical uses that augment strength, endurance and mobility.",Public,"70,800,000",Safety,Existing,2005,USA,Both,TRUE,,,,
Emesent,https://emesent.io/,"Emesent’s Hovermap enables drones to autonomously fly, map and inspect challenging and GPS-denied underground environments like mines. This eliminates the need to send people into potentially hazardous areas. ",Seed,"2,410,000",Safety,Distant,2018,Australia,Mining,TRUE,,,,
Atheer,https://atheerair.com/,"Atheer’s pioneering Augmented Reality Management Platform provides the world’s leading enterprises a competitive edge by improving the productivity, effectiveness, accuracy and safety of their work forces, customers, and supply chains.
The award-winning Atheer AiR platform consists of the following:
• AiR Glasses, the world’s most interactive 3D smart glasses
• The Android-based AiR OS
• The cloud-based, collaboration-centric AiR Enterprise Suite
AiR Glasses enable users to view critical work information right in their field-of-view and interact with it using familiar gestures, voice commands, and motion tracking. With the AiR Enterprise Suite, users can collaborate with remote experts via video calls and receive guidance through real-time image annotations to increase efficiency - all while keeping focus on the task at hand.",Series C,"35,300,000",Safety,Existing,2011,USA,Both,TRUE,,,,
Daqri,https://daqri.com/,"The device and software platform for industrial tasks. Bring your workforce, customers and machines together with wearable capabilities. DAQRI Worksense™ is built for workforces. Increase Overall Equipment Effectiveness with quicker changeovers, improved quality control, and faster incident resolution.",Series A,"275,000,000",Safety,Existing,2010,USA,Both,TRUE,,,,
NavVis,https://www.navvis.com/overview,"NavVis is a global provider of indoor spatial intelligence solutions for enterprises. NavVis is the leading global provider of indoor spatial intelligence solutions for enterprises, trusted by top companies including Daimler, Allianz, Huawei, Lenovo and Deutsche Telekom. NavVis leading digital twin technology enables fast and accurate 3D mobile mapping, visualization and navigation of large indoor spaces. NavVis helps enterprises drive efficiencies and optimize business performance through its open digital twin platform that enables accurate mapping at unprecedented speed and scale, immersive 3D visualization designed for collaboration and location-based apps that pioneer AI-powered positioning technology.

SAFETY & COMPLIANCE
Onsite inspections of workplace safety and ergonomics are laborious and disruptive to factory operations. NavVis facilitates compliance audits by providing virtually accessible workplaces to check if safety standards are being met.

REPAIR & MAINTENANCE
Service teams are facing inefficient maintenance processes and low first-time fix rates. NavVis increases operational efficiency by enabling users to view assets and surroundings remotely before entering the production facility",Series C,"43,700,000",Safety,Existing,2013,Germany,Both,TRUE,,,,
Sarcos Robotics,http://www.sarcos.com/,"Sarcos Corp, aka Sarcos Robotics, is a global provider in the development and production of robotic systems for use in unstructured environments. Sarcos is producing human-controlled robots to improve health, safety, and quality of life by keeping humans out of harm's way.",Series B,"45,630,000",Safety,Emerging,2015,USA,Mining,TRUE,,,,
Smart Cap,smartcaptech.com,"SmartCap is the developer of Life, a fatigue monitoring wearable that can be integrated into any headwear. The wearable technology uses EEG technology to measure brain activity to determine an individual's alertness and fatigue levels. Real-time alertness readings are sent via Bluetooth to the Life App.",Undisclosed,Undisclosed,Safety,Existing,2009,Australia,Mining,TRUE,,,,
Upskill,http://www.upskill.io/,"Upskill develops enterprise software for augmented reality devices in industrial settings. Upskill's Skylight software product runs on many types of devices, integrates with existing business systems, and is in a range of industrial operations including manufacturing, field service, repair, training, and compliance.",Acquired,"54,570,000",Safety,Existing,2010,USA,Both,TRUE,,,,
Aerial Insights,https://www.aerialai.com/,"Aerial insights is a pioneer of the unmanned surveying, mapping, and inspection industry. Our complete knowledge of advanced sensing technologies, such as LiDAR, Hyperspectral, and High-Resolution RGB, is enabling our users to gain new insights and make actionable and informed decisions.",Seed,"800,000",Safety,Distant,2016,USA,Both,TRUE,,,,
